Mon,FarASName,FarASN,FarIP,NearIP,far_p,near_p,far_diff,near_diff,code,far_cong_loss_rate,far_uncong_loss_rate,near_cong_loss_rate,near_uncong_loss_rate,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
atl2-us,AMAZON-AS - Amazon.com Inc.,7224,50.248.116.134,68.86.85.106,1,0.629,-0.294,-0.03,failure-FarCongLower-NotSignificant,0.07,0.364,0.1,0.448,07_01_2017_07_31_2017,9960,10,671272738,3021302,7,9955,2452217,670921245
atl2-us,AMAZON-AS - Amazon.com Inc.,7224,50.248.116.150,68.86.87.6,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
atl2-us,NETFLIX Netflix Streaming Inc.,2906,50.248.119.166,68.86.82.222,1,0.344,-0.355,-0.014,failure-FarCongLower-NotSignificant,0.015,0.37,0.029,0.401,07_01_2017_07_31_2017,20578,6,499000178,2009244,3,20583,1853067,498549867
atl2-us,GLOBEINTERNET TATA Communications,6453,66.110.57.9,68.86.85.194,1,0,0.89,0.739,success-CorrelationNotSignificant,1.367,0.477,0.628,0.377,07_01_2017_07_31_2017,91553,579,5830800819,22071628,1119,80755,23677784,4938454728
atl2-us,GOOGLE - Google Inc.,15169,72.14.222.213,68.86.83.106,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
atl2-us,APPLE Apple Inc,714,96.87.8.50,68.86.89.206,1,1,-0.254,1.017,failure-FarCongLower-NotSignificant,0.017,0.271,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,1,5795,979714,360775675
atl2-us,APPLE Apple Inc,714,96.87.8.54,68.86.89.206,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,07_01_2017_07_31_2017,-1,-1,-1,-1,-1,-1,-1,-1
atl2-us,AMAZON-02 - Amazon.com Inc.,16509,96.87.9.38,68.86.87.170,0.398,0,-0.003,-0.02,failure-FarCongLower-NotSignificant,0.02,0.023,0.04,0.051,10_01_2017_10_31_2017,217206,86,180374900,91894,44,217162,42040,180844250
atl2-us,ATT-INTERNET4 - AT&T Services Inc.,7018,12.90.35.25,68.86.84.98,0.01,0.588,-0.046,-0.012,failure-FarCongLower-Significant,0.017,0.063,0.029,0.052,04_01_2017_04_30_2017,52512,15,739793295,386193,3,17499,155553,246570945
atl2-us,FACEBOOK - Facebook Inc.,32934,96.87.9.50,68.86.84.218,1,0.001,0.034,0.014,success-CorrelationNotSignificant,0.084,0.05,0.07,0.046,10_01_2017_10_31_2017,1194023,834,13814943761,6412216,492,586031,3412988,6807630489
atl2-us,AMAZON-02 - Amazon.com Inc.,16509,96.87.9.38,68.86.87.170,0,0.549,-0.346,-0.014,failure-FarCongLower-Significant,0.018,0.364,0.032,0.436,07_01_2017_07_31_2017,21765,7,186983746,818489,4,21760,807740,221376284
atl2-us,FACEBOOK - Facebook Inc.,32934,96.87.9.50,68.86.84.218,1,0.004,0.023,0.035,success-CorrelationNotSignificant,0.426,0.403,0.391,0.355,07_01_2017_07_31_2017,812505,3187,13268532082,47315413,1751,409445,27260099,6737467925
atl2-us,GLOBEINTERNET TATA Communications,6453,206.82.142.17,68.86.85.194,1,1,-0.018,0,failure-FarCongLower-NotSignificant,0,0.018,0,0.056,04_01_2017_04_30_2017,2796,0,3012239924,1698800,0,1398,42160,235556442
atl2-us,GOOGLE - Google Inc.,15169,23.30.207.254,68.86.87.222,1,1,0,0,failure-FarCongLower-NotSignificant,-1,-1,-1,-1,04_01_2017_04_30_2017,-1,-1,-1,-1,-1,-1,-1,-1
