mon,farASN,farIP,Month,CongestedDays,UncongestedDays,columnG,Code
atl2-us,7224,50.248.116.134,2017-07-01T00:00:00Z,0,28,0,text
atl2-us,2906,50.248.119.166,2017-07-01T00:00:00Z,0,29,0,text
atl2-us,6453,66.110.57.9,2017-07-01T00:00:00Z,3,18,0.045138889,text
atl2-us,16509,96.87.9.38,2017-10-01T00:00:00Z,0,17,0,text
atl2-us,7018,12.90.35.25,2017-04-01T00:00:00Z,0,23,0,bottom
atl2-us,32934,96.87.9.50,2017-10-01T00:00:00Z,0,1,0,text
atl2-us,16509,96.87.9.38,2017-07-01T00:00:00Z,0,24,0,bottom
atl2-us,32934,96.87.9.50,2017-07-01T00:00:00Z,0,1,0,text
atl2-us,6453,206.82.142.17,2017-04-01T00:00:00Z,0,4,0,text
atl2-us,2914,129.250.66.65,2017-11-01T00:00:00Z,28,1,0.185267857,text
atl2-us,174,50.206.187.94,2017-04-01T00:00:00Z,0,23,0,text
atl2-us,3561,50.224.253.194,2017-04-01T00:00:00Z,0,4,0,text
atl2-us,16509,50.242.148.118,2017-04-01T00:00:00Z,0,25,0,text
atl2-us,16509,50.242.148.118,2017-08-01T00:00:00Z,0,22,0,top
atl2-us,3356,50.242.148.34,2017-04-01T00:00:00Z,0,0,0,text
atl2-us,1239,50.242.148.54,2017-04-01T00:00:00Z,0,22,0,text
atl2-us,7224,50.248.116.134,2017-08-01T00:00:00Z,0,25,0,top
atl2-us,2906,50.248.119.166,2017-08-01T00:00:00Z,0,27,0,middle
atl2-us,6453,66.110.57.9,2017-08-01T00:00:00Z,17,12,0.267156863,top
atl2-us,32934,173.167.56.50,2017-11-01T00:00:00Z,0,22,0,text
atl2-us,16509,96.87.9.38,2017-08-01T00:00:00Z,0,21,0,top
atl2-us,32934,96.87.9.50,2017-08-01T00:00:00Z,0,0,0,text
atl2-us,7224,50.242.149.138,2017-04-01T00:00:00Z,0,26,0,text
atl2-us,16509,50.242.148.118,2017-09-01T00:00:00Z,0,20,0,text
atl2-us,7224,50.248.116.134,2017-09-01T00:00:00Z,0,25,0,top
atl2-us,2906,50.248.119.166,2017-09-01T00:00:00Z,0,27,0,text
atl2-us,6453,66.110.57.9,2017-09-01T00:00:00Z,14,0,0.314732143,top
atl2-us,1273,173.167.59.50,2017-11-01T00:00:00Z,0,23,0,text
atl2-us,3257,173.205.52.233,2017-11-01T00:00:00Z,0,11,0,text
atl2-us,6453,206.82.142.17,2017-11-01T00:00:00Z,15,0,0.207638889,top
